D0001,A001,0,0,90,F0001,
D0001,B0008,4,37,-90,F0001,
D0001,A001,41,41,19,F0002,
D0001,A001,41,41,57,F0010,
D0001,A001,41,41,52,F0011,
D0001,B8015,43,71,-57,F0010,
D0001,B0402,72,90,-19,F0002,
D0001,B8063,91,118,-52,F0011,
D0001,S383,123,227,3,E2898,
D0001,S383,227,240,6,E2904,
D0001,S383,240,251,2,E2900,
D0001,B6006,257,266,-2,E2900,
D0001,S377,271,276,2,E2875,
D0001,S377,276,276,2,E2866,
D0001,B1415,276,285,-2,E2866,
D0001,S383,287,289,3,E2895,
D0001,B7888,295,307,-6,E2904,
D0001,B3693,311,321,-3,E2898,
D0001,B2051,329,339,-3,E2895,
D0001,B7613,340,349,-2,E2875,
D0001,A084,352,352,57,F6459,
D0001,S383,356,363,2,E2896,
D0001,B0161,366,394,-57,F6459,
D0001,S358,400,425,3,E2773,
D0001,B0291,444,453,-2,E2896,
D0001,B5691,471,481,-3,E2773,
D0001,S364,490,512,1,E2802,
D0001,B7454,512,520,-1,E2802,
D0001,S369,526,544,1,E2822,
D0001,B4635,548,556,-1,E2822,
D0001,S383,567,582,3,E2893,
D0001,S383,582,586,3,E2905,
D0001,B8475,590,600,-3,E2905,
D0001,B1530,609,619,-3,E2893,
D0001,S371,624,628,1,E2826,
D0001,B0717,632,640,-1,E2826,
D0002,A001,0,0,93,F0003,
D0002,B0753,1,35,-93,F0003,
D0002,A001,36,36,89,F0004,
D0002,B2822,36,69,-89,F0004,
D0002,A001,69,69,77,F0005,
D0002,B3889,72,103,-77,F0005,
D0002,S401,113,210,1,E2955,
D0002,S401,210,214,1,E2956,
D0002,B4356,219,227,-1,E2956,
D0002,B4356,227,235,-1,E2955,
D0002,S400,240,243,3,E2948,
D0002,S394,245,247,2,E2929,
D0002,S395,248,254,11,E2937,
D0002,S398,255,270,1,E2946,
D0002,B0008,276,284,-1,E2946,
D0002,B7377,293,308,-11,E2937,
D0002,B2670,313,322,-2,E2929,
D0002,B6673,325,335,-3,E2948,
D0002,S398,336,339,1,E2945,
D0002,B2670,340,348,-1,E2945,
D0002,A093,354,354,42,F6940,
D0002,A093,354,354,69,F6969,
D0002,B4343,361,391,-69,F6969,
D0002,S472,392,415,2,E3386,
D0002,S497,419,443,18,E3569,
D0002,B7071,447,465,-18,E3569,
D0002,S479,472,474,1,E3430,
D0002,B0092,474,498,-42,F6940,
D0002,B4667,500,509,-2,E3386,
D0002,B2095,516,524,-1,E3430,
D0002,S479,530,539,1,E3432,
D0002,S480,539,543,1,E3440,
D0002,B3535,545,553,-1,E3432,
D0002,B6603,554,562,-1,E3440,
D0002,S480,565,584,1,E3441,
D0002,S480,584,589,1,E3442,
D0002,S481,589,594,2,E3447,
D0002,S479,594,598,1,E3433,
D0002,B3535,600,609,-2,E3447,
D0002,B6603,610,618,-1,E3442,
D0002,B6603,618,626,-1,E3441,
D0002,B0046,632,640,-1,E3433,
D0003,A001,0,0,8,F0006,
D0003,A001,0,0,78,F0008,
D0003,B6721,1,32,-78,F0008,
D0003,B4505,35,48,-8,F0006,
D0003,A001,50,50,96,F0007,
D0003,B5403,52,86,-96,F0007,
D0003,A001,88,88,69,F0009,
D0003,B7888,91,121,-69,F0009,
D0003,S408,125,215,11,E2971,
D0003,S397,218,225,2,E2941,
D0003,B5457,227,242,-11,E2971,
D0003,S408,244,252,6,E2975,
D0003,S408,252,262,4,E2974,
D0003,B9177,264,275,-4,E2974,
D0003,B0935,279,291,-6,E2975,
D0003,B1179,298,307,-2,E2941,
D0003,A040,308,308,98,F3704,
D0003,S412,314,318,4,E2987,
D0003,B6055,318,329,-4,E2987,
D0003,B0147,332,367,-98,F3704,
D0003,S412,370,387,3,E2981,
D0003,B0147,390,400,-3,E2981,
D0003,S412,403,459,1,E2988,
D0003,B6055,459,467,-1,E2988,
D0003,S412,467,500,3,E2983,
D0003,B2783,504,514,-3,E2983,
D0003,S420,520,560,2,E3077,
D0003,B3616,561,570,-2,E3077,
D0003,S420,571,574,2,E3078,
D0003,S420,574,579,1,E3074,
D0003,S412,582,585,3,E2984,
D0003,B1784,588,596,-1,E3074,
D0003,B5442,597,606,-2,E3078,
D0003,B2783,612,622,-3,E2984,
D0004,A002,0,0,83,F0012,
D0004,B0202,3,35,-83,F0012,
D0004,A002,38,38,36,F0013,
D0004,A002,38,38,20,F0041,
D0004,A002,38,38,66,F0044,
D0004,A002,38,38,18,F0014,
D0004,B0420,45,68,-36,F0013,
D0004,B0531,71,89,-18,F0014,
D0004,B4835,90,119,-66,F0044,
D0004,B4714,121,139,-20,F0041,
D0004,S336,143,212,1,E2657,
D0004,S336,212,212,2,E2659,
D0004,S336,212,213,4,E2655,
D0004,S336,213,216,2,E2658,
D0004,S336,216,221,1,E2662,
D0004,S336,221,221,1,E2660,
D0004,S335,221,226,3,E2646,
D0004,S335,226,231,1,E2637,
D0004,B6877,233,241,-1,E2660,
D0004,B9186,243,251,-1,E2662,
D0004,B2195,254,265,-4,E2655,
D0004,B2955,270,278,-1,E2657,
D0004,B7600,280,290,-3,E2646,
D0004,B5825,294,303,-2,E2659,
D0004,B4381,305,314,-2,E2658,
D0004,B3215,321,329,-1,E2637,
D0004,A002,333,333,52,F0015,
D0004,A002,333,333,54,F0020,
D0004,B1348,335,362,-54,F0020,
D0004,S335,368,379,3,E2648,
D0004,S336,379,404,2,E2661,
D0004,B6932,406,415,-2,E2661,
D0004,B7600,418,428,-3,E2648,
D0004,B0574,433,460,-52,F0015,
D0004,S335,465,485,2,E2649,
D0004,S335,485,490,2,E2652,
D0004,B7707,491,500,-2,E2652,
D0004,B7600,502,511,-2,E2649,
D0004,S336,513,523,1,E2654,
D0004,B1006,525,533,-1,E2654,
D0004,S335,535,536,5,E2653,
D0004,S335,536,537,5,E2636,
D0004,S335,537,541,3,E2642,
D0004,B2955,542,554,-5,E2636,
D0004,B7707,556,568,-5,E2653,
D0004,S335,569,574,4,E2641,
D0004,B5860,574,585,-4,E2641,
D0004,B6932,587,597,-3,E2642,
D0004,S335,599,604,1,E2645,
D0004,S335,604,605,4,E2639,
D0004,B7554,607,615,-1,E2645,
D0004,S335,617,626,3,E2650,
