D0001,A119,0,0,24,F8854
D0001,A119,0,0,37,F8912
D0001,A119,0,0,40,F8873
D0001,A119,0,0,11,F8879
D0001,A119,0,0,28,F8869
D0001,B0072,9,29,-24,F8854
D0001,B8366,30,53,-37,F8912
D0001,B2280,55,76,-28,F8869
D0001,B3005,78,102,-40,F8873
D0001,B4013,104,119,-11,F8879
D0001,S090,180,233,2,E1391
D0001,S078,248,255,4,E1357
D0001,S083,257,257,1,E1367
D0001,B0376,263,271,-1,E1367
D0001,B6492,279,290,-4,E1357
D0001,S078,290,294,3,E1356
D0001,S078,294,295,2,E1359
D0001,B5228,296,306,-3,E1356
D0001,B0447,320,329,-2,E1391
D0001,B8148,344,353,-2,E1359
D0001,A009,376,376,26,F0516
D0001,A009,376,376,23,F0568
D0001,A009,376,376,22,F0583
D0001,A009,376,376,22,F0558
D0001,A009,376,376,34,F0604
D0001,A009,376,376,5,F0591
D0001,S079,392,397,2,E1360
D0001,B6769,414,426,-5,F0591
D0001,B7885,427,449,-34,F0604
D0001,B3731,451,470,-22,F0558
D0001,B4145,485,494,-2,E1360
D0001,B4904,510,529,-23,F0568
D0001,B6452,531,550,-22,F0583
D0001,B0158,552,572,-26,F0516
D0002,A119,0,0,15,F8855
D0002,A119,0,0,57,F8907
D0002,A119,0,0,34,F8870
D0002,A119,0,0,12,F8906
D0002,A119,0,0,21,F8891
D0002,B5745,6,25,-21,F8891
D0002,B0471,29,46,-15,F8855
D0002,B7470,49,64,-12,F8906
D0002,B7472,65,93,-57,F8907
D0002,B2610,95,117,-34,F8870
D0002,S009,198,210,1,E0087
D0002,S003,212,220,1,E0054
D0002,B7861,220,228,-1,E0054
D0002,S003,228,229,2,E0032
D0002,S003,229,232,1,E0049
D0002,B5710,234,242,-1,E0049
D0002,B3569,244,253,-2,E0032
D0002,S026,255,255,2,E0568
D0002,B7375,258,266,-1,E0087
D0002,B1235,278,287,-2,E0568
D0002,A108,313,313,17,F8015
D0002,A108,313,313,17,F8095
D0002,A108,313,313,42,F8041
D0002,A108,313,313,13,F8049
D0002,A108,313,313,14,F8085
D0002,A108,313,313,15,F8034
D0002,A108,313,313,13,F8092
D0002,A108,313,313,9,F8098
D0002,B0051,319,336,-17,F8015
D0002,B7822,337,354,-17,F8095
D0002,B8235,357,371,-9,F8098
D0002,B3065,374,390,-13,F8049
D0002,B7756,392,408,-13,F8092
D0002,B1836,410,427,-15,F8034
D0002,B2439,430,454,-42,F8041
D0002,B7328,456,472,-14,F8085
D0002,A108,479,479,28,F8016
D0002,A108,479,479,4,F8046
D0002,A108,479,479,41,F8059
D0002,B2856,505,516,-4,F8046
D0002,B0340,520,541,-28,F8016
D0002,B4359,545,569,-41,F8059
D0003,A120,0,0,36,F8918
D0003,A120,0,0,52,F8989
D0003,A120,0,0,21,F8928
D0003,B1365,12,31,-21,F8928
D0003,B7949,32,59,-52,F8989
D0003,B0107,60,83,-36,F8918
D0003,A120,97,97,8,F8919
D0003,A120,97,97,12,F8981
D0003,A120,97,97,48,F8929
D0003,A120,97,97,6,F8965
D0003,A120,97,97,14,F8972
D0003,A120,97,97,47,F8922
D0003,B6026,119,131,-6,F8965
D0003,B0509,138,164,-47,F8922
D0003,B6783,168,184,-14,F8972
D0003,B1559,187,213,-48,F8929
D0003,B7461,215,230,-12,F8981
D0003,B0194,233,246,-8,F8919
D0003,S539,287,290,1,E3838
D0003,B0136,290,298,-1,E3838
D0003,S539,298,312,1,E3839
D0003,B0136,312,320,-1,E3839
D0003,A033,334,334,90,F2942
D0003,A033,334,334,34,F3003
D0003,S544,335,402,1,E3855
D0003,B0336,408,416,-1,E3855
D0003,B0099,422,455,-90,F2942
D0003,B7070,456,478,-34,F3003
D0003,S544,481,491,1,E3857
D0003,B0608,492,500,-1,E3857
D0003,S551,505,554,6,E3879
D0003,B0632,555,567,-6,E3879
D0003,S558,570,573,2,E3930
D0003,B7900,576,585,-2,E3930
D0003,S549,586,589,1,E3871
D0003,B0632,590,598,-1,E3871
D0004,A120,0,0,12,F8920
D0004,A120,0,0,12,F8992
D0004,A120,0,0,17,F8947
D0004,A120,0,0,30,F8993
D0004,A120,0,0,8,F8952
D0004,A120,0,0,15,F8968
D0004,A120,0,0,5,F8983
D0004,B3378,8,25,-17,F8947
D0004,B0290,28,43,-12,F8920
D0004,B8939,45,60,-12,F8992
D0004,B9019,64,85,-30,F8993
D0004,B3910,86,99,-8,F8952
D0004,B6376,100,117,-15,F8968
D0004,B7683,118,130,-5,F8983
D0004,S609,174,222,4,E4320
D0004,S612,227,246,1,E4343
D0004,B3923,250,261,-4,E4320
D0004,S609,269,270,5,E4324
D0004,S610,273,283,1,E4326
D0004,B2451,290,298,-1,E4326
D0004,S609,305,310,5,E4321
D0004,B2475,314,322,-1,E4343
D0004,B3923,331,343,-5,E4321
D0004,S611,345,350,1,E4330
D0004,B0007,353,365,-5,E4324
D0004,S609,370,375,5,E4319
D0004,B2794,391,399,-1,E4330
D0004,B2794,399,411,-5,E4319
D0004,A018,414,414,28,F1115
D0004,A018,414,414,54,F1178
D0004,A018,414,414,19,F1155
D0004,S611,429,431,1,E4328
